rank,zip,population,income,startups,national_rank,ca,unit,station,line,income_index,startups_index,income_prop,startups_prop
20,10003,53673,60891,55,2796,R170,A033,14 ST-UNION SQ,456LNQR,1.21,4.95,0.03,0.13
20,10003,53673,60891,55,2796,R170,A034,14 ST-UNION SQ,LNQR456,1.21,4.95,0.03,0.13
20,10003,53673,60891,55,2796,R170,A036,14 ST-UNION SQ,LNQR456,1.21,4.95,0.03,0.13
20,10003,53673,60891,55,2796,R170,A037,14 ST-UNION SQ,LNRQ456,1.21,4.95,0.03,0.13
20,10003,53673,60891,55,2796,R170,R221,14 ST-UNION SQ,LNQR456,1.21,4.95,0.03,0.13
20,10003,53673,60891,55,2796,R330,H005,3 AVE,L,1.21,4.95,0.03,0.13
20,10003,53673,60891,55,2796,R330,H006,3 AVE,L,1.21,4.95,0.03,0.13
20,10003,53673,60891,55,2796,R085,A038,8 ST-B'WAY NYU,NR,1.21,4.95,0.03,0.13
20,10003,53673,60891,55,2796,R085,A039,8 ST-B'WAY NYU,NR,1.21,4.95,0.03,0.13
20,10003,53673,60891,55,2796,R160,R219,ASTOR PLACE,6,1.21,4.95,0.03,0.13
20,10003,53673,60891,55,2796,R160,R220,ASTOR PLACE,6,1.21,4.95,0.03,0.13
20,10003,53673,60891,55,2796,R041,R201,BOWLING GREEN,45,1.21,4.95,0.03,0.13
20,10003,53673,60891,55,2796,R041,R200A,BOWLING GREEN,45,1.21,4.95,0.03,0.13
20,10003,53673,60891,55,2796,R042,R202,BOWLING GREEN,45,1.21,4.95,0.03,0.13
20,10003,53673,60891,55,2796,R461,N519,BROADWAY/LAFAY,BDFQ6,1.21,4.95,0.03,0.13
20,10003,53673,60891,55,2796,R461,N519A,BROADWAY/LAFAY,BDFQ6,1.21,4.95,0.03,0.13
20,10003,53673,60891,55,2796,R086,A041,PRINCE ST-B'WAY,NR,1.21,4.95,0.03,0.13
20,10003,53673,60891,55,2796,R086,A042,PRINCE ST-B'WAY,NR,1.21,4.95,0.03,0.13
21,10012,26000,58313,34,3310,R194,R217A,BLEECKER ST,6DF,1.16,3.06,0.03,0.08
21,10012,26000,58313,34,3310,R311,A064,BOWERY,JZ,1.16,3.06,0.03,0.08
21,10012,26000,58313,34,3310,R282,N086,SPRING ST,CE,1.16,3.06,0.03,0.08
21,10012,26000,58313,34,3310,R282,N087,SPRING ST,CE,1.16,3.06,0.03,0.08
21,10012,26000,58313,34,3310,R322,R215,SPRING ST,6,1.16,3.06,0.03,0.08
21,10012,26000,58313,34,3310,R322,R216,SPRING ST,6,1.16,3.06,0.03,0.08
22,10019,36012,55869,8,3901,R203,N509,23 ST-6 AVE,FM,1.11,0.72,0.03,0.02
22,10019,36012,55869,8,3901,R021,N503,42 ST-BRYANT PK,BDFM7,1.11,0.72,0.03,0.02
