rank,zip,population,income,startups,national_rank,unit,ca,station,line,income_index,startups_index,income_prop,startups_prop,total entries
19,10011,46669,61986,36,2569,R105,R128,14 ST,123FLM,1.23,3.24,0.03,0.09,734450
19,10011,46669,61986,36,2569,R175,N078,14 ST,ACEL,1.23,3.24,0.03,0.09,1931993
19,10011,46669,61986,36,2569,R163,N512,14 ST-6 AVE,FLM123,1.23,3.24,0.03,0.09,597409
19,10011,46669,61986,36,2569,R163,N510,14 ST-6 AVE,FLM123,1.23,3.24,0.03,0.09,386771
19,10011,46669,61986,36,2569,R163,N511,14 ST-6 AVE,FLM123,1.23,3.24,0.03,0.09,422379
19,10011,46669,61986,36,2569,R163,N513,14 ST-6 AVE,FLM123,1.23,3.24,0.03,0.09,406274
19,10011,46669,61986,36,2569,R545,PTH11,14TH STREET,1,1.23,3.24,0.03,0.09,938698
19,10011,46669,61986,36,2569,R321,R129,18 ST,1,1.23,3.24,0.03,0.09,597803
19,10011,46669,61986,36,2569,R321,R130,18 ST,1,1.23,3.24,0.03,0.09,216182
19,10011,46669,61986,36,2569,R111,N076,23 ST,CE,1.23,3.24,0.03,0.09,1403885
19,10011,46669,61986,36,2569,R111,N075,23 ST,CE,1.23,3.24,0.03,0.09,474456
19,10011,46669,61986,36,2569,R111,N077,23 ST,CE,1.23,3.24,0.03,0.09,620165
19,10011,46669,61986,36,2569,R190,R131,23 ST,1,1.23,3.24,0.03,0.09,1064857
19,10011,46669,61986,36,2569,R190,R132,23 ST,1,1.23,3.24,0.03,0.09,440242
19,10011,46669,61986,36,2569,R453,N508,23 ST-6 AVE,FM,1.23,3.24,0.03,0.09,931018
19,10011,46669,61986,36,2569,R163,H003,6 AVE,FLM123,1.23,3.24,0.03,0.09,605876
19,10011,46669,61986,36,2569,R175,H001,8 AVE,ACEL,1.23,3.24,0.03,0.09,2856084
19,10011,46669,61986,36,2569,R189,R125,CHRISTOPHER ST,1,1.23,3.24,0.03,0.09,818901
19,10011,46669,61986,36,2569,R189,R126,CHRISTOPHER ST,1,1.23,3.24,0.03,0.09,227917
19,10011,46669,61986,36,2569,R542,PTH12,TWENTY THIRD ST,1,1.23,3.24,0.03,0.09,819402
19,10011,46669,61986,36,2569,R138,N080,W 4 ST-WASH SQ,ABCDEFM,1.23,3.24,0.03,0.09,1571307
